,Project Name,Merge Scenario,Conflicting Java Files,Conflict Blocks,Conflicting LOC,Involved Conflicts,Involved Conflicting LOC,Involved Refactorings,Is Potentially Fully Resolvable
0,cassandra,64ec400ab6504ebf9447eb7250064a7795e29b81,2,5,15,1,4,1,FALSE
1,cassandra,9b99eac183566defe6c38640140793bcc4c3a135,3,6,147,3,121,11,FALSE
2,cassandra,4dcf7d9ebd5c330b0dc438054d595fe63fe60bbe,11,7,114,1,6,1,FALSE
3,cassandra,51c6669676c1ce825930145115e542032ed447a5,1,2,51,1,29,2,FALSE
4,cassandra,0f25d1e31caa429fc2ebdb8574f5afe1c27d2f4b,5,7,102,1,46,4,FALSE
5,cassandra,56b979bec6c2d7602982baad622f52860baa0cb9,1,1,13,1,13,8,TRUE
6,cassandra,c4fab930ca550f7a5a244e8b4f9482f3cd21170e,8,25,145,1,10,2,FALSE
7,cassandra,d6ff4c4a35c9e587f24edd8936182cdd3e12feb1,8,16,506,4,93,9,FALSE
8,cassandra,2c11dfcb5bc2dc25390a4b312911b8401d4a46e6,3,10,149,2,14,10,FALSE
9,cassandra,edffdf6dcc092780757e278d5df789653f20bf37,3,1,5,1,5,5,TRUE
10,cassandra,1d24c7cf497da3013f71f62b493ed346b8c81388,1,2,486,1,462,2,FALSE
11,cassandra,1ca27e456d9b4bd51bc7808c162ddba4366b1cfc,2,3,19,1,16,2,FALSE
12,cassandra,0e990d7231f6152e95d5c21a6660594fc9a507bb,3,7,96,3,41,9,FALSE
13,cassandra,dc82d481d94e38b41dc3de1a07eb18c77d34ad1e,2,9,99,1,2,2,FALSE
14,cassandra,d1f3d40afc5d20bab70c6200508baa3cd9409458,3,13,552,3,404,10,FALSE
15,cassandra,0541c5199690757294c40d9adfd1b86419158675,2,5,170,1,16,4,FALSE
16,cassandra,cd20f882820230980107ce5737c47a78a6fc4901,5,7,596,2,449,9,FALSE
17,cassandra,aa317ae20598645a24d8b72b09173689359bf321,2,2,356,1,348,19,FALSE
18,cassandra,8ae2b094654aac6a2f2d8a79a1aa08a7215c8621,7,25,362,7,220,23,FALSE
19,cassandra,1b4e1cc9303414f91535dab10f6342e1c1c6b8ac,4,19,302,5,160,12,FALSE
20,cassandra,11cb8104facc4d3455efb73d2701fd5ba510bef1,5,23,285,4,89,32,FALSE
21,cassandra,1596c37d03d9a6be4b72b1eee357f068ef650159,2,4,27,1,9,2,FALSE
22,cassandra,8e61e216a67304482f4373fb8b53012a25404026,2,1,8,1,8,2,TRUE
23,cassandra,ac7df513ac63b8699382f59fa86f5fc72f6779db,1,1,5,1,5,2,TRUE
24,cassandra,39d297437983003b8886a3b711ed7f25ea6777f4,2,5,32,3,18,13,FALSE
25,cassandra,e94459c6953b0271a2de391b1b409defcd2ccc93,1,2,10,1,2,2,FALSE
26,cassandra,d3770b45bec13af71d23b5fe2ab3ae4c0fc8e695,2,9,274,5,242,25,FALSE
27,cassandra,e8c1af26c5d07c12109d51c2d89bc3967141dc55,2,7,59,1,11,10,FALSE
28,cassandra,d9e1af8824f6914a6eff99a6345575b93188c51a,2,3,70,2,68,22,FALSE
29,cassandra,43929a5db51d766155185d63b318641ef640b397,4,5,35,2,25,5,FALSE
30,cassandra,159e021aa36a44cdc7674dd234d4a6e189478280,4,6,128,2,8,7,FALSE
31,cassandra,cc28eba205341396bf009095ce04f6e3c953e1bd,2,3,27,2,18,6,FALSE
32,cassandra,9179796dfadbbf5a60cc7490a9bc6b260b9993b0,5,10,195,1,38,1,FALSE
33,cassandra,bf1ea945b6fb1efb1730a3b8973325a26d51be39,1,4,10,2,5,3,FALSE
34,cassandra,56f6cd9fba57a879377113af11ed4303f3697e77,1,1,6,1,6,2,TRUE
35,cassandra,95d60a06f298cf3187c1f6cd7aa5cdb344f4f08c,25,49,769,5,166,26,FALSE
36,cassandra,7c407c4380cd2adfed5f6b1df10dbc18e9c522b1,14,22,410,4,249,11,FALSE
37,cassandra,2ae1ec5dd2d98178f3ab4b3ed64a87147e713560,3,17,156,5,94,17,FALSE
38,cassandra,42989cee287ddacf30db331829bf927695816966,3,13,192,3,75,8,FALSE
39,cassandra,21a363becc8e2a2c1b3042b9544f1c47606f5bab,3,5,67,1,32,1,FALSE
40,cassandra,08315eadebe8333170a1627e535d9b4350cb5051,2,4,68,1,46,2,FALSE
41,cassandra,c6ef4762eeee78ec783b77faa367e82d9b1ffabc,2,5,129,2,110,4,FALSE
42,cassandra,881cff46da8f4a0369e3dcd96231535da17ec193,7,19,427,3,80,17,FALSE
43,cassandra,fa7659253f786284d33f840199dc26602d03363a,5,20,694,5,303,32,FALSE
44,cassandra,1b39ff61265570136e2fe820470d675b056940df,2,3,50,1,21,1,FALSE
45,cassandra,ae51f0fd12820707927803fdbe63581f33111d4b,2,1,247,1,247,4,TRUE
46,cassandra,7976777bccbe8b90db7d41cb666bcb9060d78bd4,1,1,47,1,47,2,TRUE
47,cassandra,3e393f25bd928d66470b9ba8114032341df396c9,6,97,621,1,94,4,FALSE
48,cassandra,fdeb254351afdd6efbe460967b8ee181f437b663,4,6,518,4,514,7,FALSE
49,cassandra,9629c1650d53af6e624d9317c83e4bc1998b04bd,2,10,437,1,24,1,FALSE
50,cassandra,61ecfda2e68a3142a671cb50ad8786b5354c91ff,1,4,27,2,8,3,FALSE
51,cassandra,be572f27416e9477d5ac996087951ecdcd19e25a,2,3,55,2,18,4,FALSE
52,cassandra,408f969f3c1f6cccdb26f4ef8daec010b87933b5,3,8,30,4,15,8,FALSE
53,cassandra,0a1e8d168bac0f562774814a808e313e1d2d6571,4,8,77,4,37,10,FALSE
54,cassandra,04b00498312c2627bd180485565fbd1b18e1fbc3,1,2,6,1,4,2,FALSE
55,cassandra,880b07c2e63f6e1dea92995a1baa14707e3c2e5e,1,1,11,1,11,2,TRUE
56,cassandra,7014cd5ab02f3d0ae28b0783f7df34e05fb79f2a,1,2,38,1,20,2,FALSE
57,cassandra,44c4e1f7874c962309a853fa2434a9dd4ae16aeb,3,1,433,1,433,3,TRUE
